N_unmapped	3451621	3451621	3451621
N_multimapping	1813831	1813831	1813831
N_noFeature	17651025	40214373	18463909
N_ambiguous	617609	6635	372708
ALDH18A1	1715	29	1686
TCTN3	561	28	533
CFAP46	46	9	37
LOC104361281	14	10	4
NKX6-2	12	4	8
INPP5A	257	10	247
PWWP2B	2022	53	1969
LRRC27	8	0	8
LOC116961417	45	3	42
STK32C	52	13	39
DPYSL4	44	23	21
JAKMIP3	70	16	54
BNIP3	1407	34	1373
PPP2R2D	2196	67	2129
TCERG1L	11	4	7
GLRX3	4882	105	4777
CUNH10orf143	2114	58	2056
EBF3	21	8	13
MGMT	29	0	29
LOC122153463	4	1	3
MKI67	143	8	135
PTPRE	91	8	83
CLRN3	2	2	0
FOXI2	6	4	2
NPS	4	1	3
DOCK1	577	21	556
INSYN2A	29	20	9
CUNH10orf90	5	3	2
ADAM12	39	32	7
DHX32	502	595	10
LOC104365324	2630	66	2693
UROS	654	97	582
EDRF1	2865	118	2747
TEX36	9	1	8
CTBP2	110	50	60
ZRANB1	25695	357	25338
ABRAXAS2	2674	19	2655
EEF1AKMT2	520	14	506
FAM53B	74	33	94
LOC104367620	424	39	438
NKX1-2	19	8	11
OAT	2994	40	2954
CHST15	11	4	7
LOC116960647	8	4	4
CPXM2	4	3	1
GPR26	6	3	3
BUB3	1383	39	1344
HMX2	10	5	5
HMX3	14	8	6
ACADSB	275	8	269
IKZF5	1871	128	1746
PSTK	469	78	392
LOC104363301	18	15	3
CUNH10orf88	43	1	42
DMBT1	6	4	2
CUZD1	5	4	1
HTRA1	20	4	16
PLEKHA1	1169	28	1141
PLAUR	6	0	6
TACC2	17	6	11
NSMCE4A	1192	43	1149
ATE1	2134	32	2102
FGFR2	32	12	20
LOC116960652	0	0	0
LOC116960653	5	0	5
LOC116960651	8	1	7
WDR11	3465	46	3419
PLPP4	7	4	3
LOC122153442	7	2	5
LOC104360272	3954	369	3914
LOC104360064	2785	62	3052
INPP5F	227	126	105
LOC116960642	4	2	6
BAG3	11	6	5
LOC122153456	21	9	12
TIAL1	4593	58	4535
RGS10	135	3	132
LOC116960640	22	1	21
GRK5	353	16	456
PRDX3	1660	144	1635
SFXN4	235	66	178
DENND10	1909	19	1899
EIF3A	3215	77	3138
LOC116960683	21	0	21
NANOS1	2	1	1
CACUL1	4949	114	4835
PRLHR	3	1	2
FAM204A	2975	34	2941
RAB11FIP2	311	8	303
EMX2	10	7	3
LOC116960650	227	21	207
PDZD8	2375	73	2305
SLC18A2	463	49	416
KCNK18	3	2	1
VAX1	13	6	7
SHTN1	8	6	2
ENO4	4	4	0
HSPA12A	11	8	3
LOC104366932	5	0	5
LOC104366933	9	4	5
LOC104366935	8	3	5
CCDC172	1	0	1
GFRA1	15	4	11
ATRNL1	20	13	7
TRUB1	201	4	197
FHIP2A	5340	81	5690
ABLIM1	144	403	172
AFAP1L2	25	8	17
VWA2	8	3	5
TDRD1	17	5	12
CCDC186	16801	293	16508
ADRB1	1828	71	1757
NHLRC2	1724	22	1702
DCLRE1A	184	1	183
PLEKHS1	55	10	45
CASP7	1548	22	1526
LOC104357889	31	4	27
HABP2	9	5	4
TCF7L2	219	33	186
VTI1A	2640	78	2568
ZDHHC6	3217	120	3108
ACSL5	316	265	56
TECTB	37	35	2
GPAM	136	5	131
LOC116960635	3	2	1
LOC116960663	0	0	0
ADRA2A	8	4	4
SHOC2	2242	26	2216
BBIP1	2638	112	2526
PDCD4	2065	978	1087
RBM20	37	6	31
SMC3	2829	22	2807
DUSP5	47	5	42
SMNDC1	7207	6548	4059
MXI1	15598	579	18419
ADD3	1144	20	1124
XPNPEP1	1067	27	1040
LOC116960682	137	4	133
SORCS1	19	12	7
LOC116960639	7	4	3
SORCS3	15	6	10
LOC122153351	0	0	1
CFAP58	6	2	4
LOC104356752	202	10	192
GSTO1	71	4	67
CFAP43	251	323	18
SFR1	258	7	341
COL17A1	43	24	19
SLK	3251	101	3155
STN1	749	8	746
SH3PXD2A	38	13	25
NEURL1	88	10	78
CALHM3	0	0	0
CALHM1	5	4	1
CALHM2	28	22	8
PDCD11	894	16	880
ATP5MK	711	5	706
TAF5	772	56	716
PCGF6	3248	46	3202
INA	170	28	142
NT5C2	445	25	420
CNNM2	494	28	466
AS3MT	33	5	28
BORCS7	510	50	461
LOC104366646	33	22	12
WBP1L	6030	74	5956
SFXN2	246	7	241
ARL3	2057	32	2027
TRIM8	67	3	64
SUFU	1206	43	1163
ACTR1A	3011	43	2968
MFSD13A	184	42	142
CUNH10orf95	12	10	2
SLF2	626	12	614
SEMA4G	102	107	16
MRPL43	44	4	62
TWNK	25	7	19
LZTS2	179	19	170
PDZD7	36	35	12
SFXN3	20	14	7
KAZALD1	16	7	9
TLX1	5	3	2
LBX1	10	3	7
BTRC	2175	60	2115
LOC104365606	12	9	3
POLL	171	22	149
DPCD	178	23	155
FBXW4	2646	58	2934
LOC122153452	9	0	9
LOC116962146	17	329	34
FGF8	12	5	7
NPM3	91	3	88
OGA	5624	80	5544
KCNIP2	40	15	25
ARMH3	6004	104	5920
HPS6	1813	94	1739
LOC104359807	77	56	21
LDB1	1275	29	1246
PPRC1	96	14	82
LCOR	649	23	626
SLIT1	57	21	36
ARHGAP19	49	5	44
RRP12	73	29	49
PGAM1	776	24	757
EXOSC1	594	43	551
ZDHHC16	340	77	264
MMS19	1415	76	1343
UBTD1	1007	36	974
ANKRD2	119	13	107
HOGA1	35	62	29
MORN4	305	19	344
PI4K2A	522	17	512
AVPI1	65	34	40
MARVELD1	143	29	117
ZFYVE27	375	8	367
SFRP5	32	26	6
GOLGA7B	17	8	9
CRTAC1	49	25	24
R3HCC1L	67	8	59
LOXL4	45	22	23
PYROXD2	51	16	35
HPS1	191	11	180
HPSE2	24	16	8
CNNM1	17	11	6
GOT1	48	8	40
NKX2-3	9	8	1
SLC25A28	166	6	160
ENTPD7	349	66	283
ATP6V0E2	355	27	328
LOC104355577	359	91	376
CUTC	773	43	838
ABCC2	87	8	79
LOC104365220	74	18	56
CPN1	22	11	11
ENTPD1	320	21	299
LOC104364921	20	9	11
KNDC1	12	2	10
LOC122154813	7	5	2
LOC116962110	2	1	1
LOC116961918	4	3	1
LOC116962055	5	3	2
LOC104368675	6	3	3
DNTT	36	4	32
LOC116962177	6	0	6
BLNK	401	29	377
ZNF518A	1449	70	1384
CCNJ	375	51	324
LOC116962031	118	13	105
LOC104369121	628	14	614
BTAF1	13088	122	12966
CPEB3	1392	33	1363
MARCHF5	5219	79	5144
IDE	17297	380	16942
LOC116963351	243	29	239
KIF11	266	11	255
HHEX	37	9	28
EXOC6	1185	32	1153
LOC104359203	11	8	3
LOC104367686	10	7	3
MYOF	789	20	771
CEP55	59	12	49
FFAR4	9	3	6
RBP4	5	2	3
PDE6C	926	948	20
LOC104362562	3308	84	3266
LGI1	10	4	6
SLC35G1	530	12	518
PLCE1	336	269	89
NOC3L	1467	15	1474
TBC1D12	166	21	145
LOC104367089	3	1	2
TNKS2	4973	113	4860
PPP1R3C	10	3	7
HECTD2	10	3	7
PCGF5	11672	125	11547
LOC122153180	22	1	21
ANKRD1	108	108	0
RPP30	1470	34	1436
HTR7	11	8	3
KIF20B	439	8	441
PANK1	1866	46	1830
SLC16A12	63	25	39
LOC104363230	3152	264	3002
LIPA	3582	107	3588
CH25H	108	0	108
FAS	343	8	335
ACTA2	8	3	5
STAMBPL1	36	14	25
ANKRD22	298	10	291
LOC104360101	4	3	1
LOC104366969	36	31	5
LOC104363786	4	2	2
TMEM72	15	10	5
CXCL12	12	6	6
ERCC6	4166	64	4102
LOC104360661	71	5	66
DRGX	11	8	3
CUNH10orf71	10	5	6
TMEM273	845	6	839
VSTM4	31	19	13
WDFY4	288	19	269
LRRC18	1	0	1
ARHGAP22	86	78	10
MAPK8	2216	21	2197
FRMPD2	23	14	9
GDF10	15	7	8
GDF2	0	0	0
RBP3	9	5	4
ZNF488	10	3	8
ANTXRL	25	12	14
ANXA8L1	7	3	4
LOC104366786	16	13	3
ELOB	2	0	2
LOC104366788	2	1	1
LOC104366092	12	1	11
LOC104357036	4134	73	4061
ZFAND4	1506	26	1480
MARCHF8	3853	54	3799
ALOX5	1080	22	1058
LOC104365148	276	172	142
BLOC1S2	1047	14	1071
LOC104362009	98	89	9
PKD2L1	7	3	4
LOC122152943	0	0	0
LOC122153087	0	0	0
LOC122153095	0	0	0
LOC122153174	0	0	0
LOC122153173	0	0	0
LOC122153181	0	0	0
LOC122153172	0	0	0
LOC116958946	0	0	0
LOC122153465	0	0	0
SCD	16	6	10
LOC116958951	12	4	8
WNT8B	49	43	6
SEC31B	870	16	854
NDUFB8	1186	15	1171
HIF1AN	2019	30	1989
PAX2	22	15	7
CUEDC2	495	439	327
FBXL15	718	77	913
PSD	44	33	15
NFKB2	77	26	54
TMEM150A	22	6	16
LOC116958954	16	18	0
GBF1	2632	50	2651
LOC122152941	28	94	1
PITX3	11	3	8
LOC104362911	23	5	18
NOLC1	124	12	112
PIK3AP1	376	11	365
TM9SF3	11819	140	11679
TLL2	50	10	40
LOC104363792	15	5	10
ZP4	6	2	4
LOC104363795	13	3	10
HELLS	425	25	400
PDLIM1	581	46	535
SORBS1	386	32	354
EIF3F	1043	52	991
ANXA7	261	549	172
PPP3CB	2028	77	2411
USP54	60	17	43
MYOZ1	11	4	7
SYNPO2L	20	8	12
SEC24C	971	16	955
FUT11	225	5	220
CHCHD1	1171	55	1116
LOC104358539	475	19	456
ZSWIM8	1917	137	1780
NDST2	361	87	274
CAMK2G	5099	189	4910
LOC122153453	57	21	36
PLAU	86	6	80
VCL	4746	643	4109
AP3M1	2711	278	2538
ADK	22064	306	21857
KAT6B	19451	192	19259
DUSP29	78	77	1
LOC104360532	3	3	0
LOC104356375	1	1	0
LOC104357101	3	1	2
SAMD8	1660	18	1642
VDAC2	1424	39	1385
COMTD1	17	5	12
ZNF503	14	12	2
LRMDA	115	9	106
LOC122153387	7	0	7
KCNMA1	264	33	231
DLG5	101	9	92
POLR3A	5853	81	5777
RPS24	39495	424	39076
LOC122152448	4	4	0
LOC116958949	1	1	0
ZMIZ1	160	12	148
PPIF	445	13	432
ZCCHC24	12	6	6
ANXA11	2944	29	2915
PLAC9	96	96	0
LOC104365169	99	5	94
TMEM254	134	14	120
LOC122154846	11	8	3
BMS1	3894	59	3835
RET	901	34	867
CSGALNACT2	492	24	468
RASGEF1A	236	58	178
LOC116961887	1	1	0
SFTPD	2	0	2
LOC116961888	2	1	1
LOC116961889	4	0	4
LOC116961886	12	1	11
MAT1A	247	4	243
LOC104365787	274	36	242
EXOSC3	414	13	405
PRXL2A	188	2	186
TSPAN14	675	15	1083
LOC104360131	225	642	6
SH2D4B	47	6	41
NRG3	22	9	13
LOC116961880	7	3	4
GHITM	19368	173	19195
LOC116961879	556	4	552
CDHR1	162	14	148
LRIT2	2	2	0
LRIT1	3	3	0
RGR	15	7	8
SLC18A3	9	3	6
CHAT	15	10	5
OGDHL	74	9	65
PARG	7365	97	7276
TIMM23B	3414	206	3217
LOC116961890	60	17	43
NCOA4	52691	637	52056
GPRIN2	16	5	14
LOC104356519	32	34	2
SHLD2	1386	19	1369
GLUD1	1794	48	1748
ADIRF	19	2	17
SNCG	3	2	1
MMRN2	12	2	10
BMPR1A	18	9	9
LOC116961882	2	2	0
LDB3	25	12	13
LOC122154850	1	0	1
OPN4	8	3	5
WAPL	16540	454	16086
LOC116961883	37	32	5
GRID1	28	11	17
LOC116961881	3	2	1
CCSER2	1570	26	1544
LOC104358648	9	1	8
BICC1	17	9	8
PHYHIPL	13	7	6
FAM13C	5	1	4
LOC116964491	2	0	2
SLC16A9	51	2	49
CCDC6	561	11	550
LOC122152902	4	2	2
ANK3	34	18	16
LOC116964490	2	0	2
CDK1	18	7	11
RHOBTB1	37	5	32
TMEM26	5	4	1
CABCOCO1	2	1	1
ARID5B	62	21	41
RTKN2	6	4	6
ZNF365	15	4	15
LOC116964493	3	0	3
ADO	147	20	127
EGR2	31	13	18
NRBF2	1171	15	1168
LOC116961994	57	61	8
JMJD1C	3795	90	3705
REEP3	4903	56	4847
LOC104365788	928	11	917
LOC122153455	0	0	0
CTNNA3	115	8	107
LRRTM3	8	3	5
TRNAS-UGA	10	0	10
DNAJC12	117	4	113
SIRT1	9711	521	9190
HERC4	8278	136	8142
MYPN	18	9	9
ATOH7	0	0	0
PBLD	28	5	25
HNRNPH3	931	27	906
RUFY2	1013	15	998
DNA2	196	8	188
LOC116961987	62	147	8
SLC25A16	467	11	549
TET1	3434	133	3301
CCAR1	3199	68	3131
LOC116961997	32	0	32
STOX1	64	57	7
LOC104362967	447	8	439
LOC104356629	3828	74	3754
KIFBP	2774	63	2711
SRGN	561	14	547
VPS26A	3859	38	3821
SUPV3L1	869	10	859
HKDC1	281	14	267
HK1	1109	56	1053
TACR2	19	17	2
TSPAN15	13	8	5
COL13A1	32	17	15
LOC116961988	7	4	5
LOC104363435	10	5	7
AIFM2	16	6	10
CHST3	27	9	18
LOC104361126	1739	21	1718
LOC116961415	320	16	305
LOC104359722	168	61	108
VSIR	182	12	170
CUNH10orf105	11	6	5
LOC122154873	4	1	3
SLC29A3	31	10	21
UNC5B	31	15	16
LOC122154883	4	1	3
LOC116961405	1	1	0
PCBD1	7	8	1
SGPL1	162	4	160
LOC104366834	16	11	5
LOC116961409	7	4	3
ADAMTS14	34	18	16
LOC116961404	11	4	7
PALD1	28	18	10
EIF4EBP2	26	6	21
LRRC20	2	2	1
TRNAE-UUC	0	0	0
NPFFR1	10	5	5
PPA1	94	35	59
SAR1A	432	7	425
TYSND1	62	9	53
SPOCK2	21	10	11
ASCC1	951	56	936
ANAPC16	711	31	721
DDIT4	330	6	324
DNAJB12	406	40	366
MICU1	1159	70	1089
MCU	709	12	697
OIT3	316	13	303
PLA2G12B	9	16	6
LOC116960091	24	2	35
P4HA1	720	45	678
NUDT13	22	5	20
LOC122153423	4	4	0
CWF19L1	1622	58	1565
LOC116960102	426	4	422
CHUK	2480	44	2436
ERLIN1	527	17	510
ADAM8	44	22	22
TUBGCP2	1500	31	1478
ZNF511	167	74	116
PRAP1	0	0	0
ECHS1	1200	37	1183
LOC122153308	47	40	30
MTG1	750	164	609
PAOX	585	40	545
LOC104356056	0	0	0
LOC104358986	8	1	7
RNLS	293	17	276
PTEN	18410	339	18071
ATAD1	3011	58	2953
PAPSS2	108	25	83
MINPP1	1215	52	1163
SGMS1	13686	198	13488
LOC104363303	37	3	34
A1CF	13	5	8
PRKG1	18	6	12
DKK1	7	3	4
PCDH15	47	26	21
LOC122154923	10	6	4
LOC116966008	9	2	7
IPMK	34064	800	33264
CISD1	4357	228	4129
UBE2D1	918	8	910
TFAM	2556	26	2530
DNAJC9	471	174	569
FAM149B1	1686	848	1152
ECD	1788	81	1749
GYG1	269	76	193
HLTF	1305	59	1255
LOC104356476	29	25	5
HPS3	4339	51	4370
LOC104360396	578	622	29
TM4SF18	12	4	8
TM4SF1	13	2	12
TM4SF4	6	4	2
WWTR1	66	10	56
LOC116964604	400	394	8
COMMD2	698	22	678
RNF13	12564	89	12475
PFN2	785	69	718
TSC22D2	3639	118	3523
EIF2A	2264	47	2219
SERP1	4113	185	3930
SELENOT	1900	16	1885
ERICH6	35	32	3
LOC122153737	2	1	28
SIAH2	34	71	7
MINDY4B	19	12	7
LOC116963242	13	3	10
LOC116963243	8	2	6
CLRN1	10	6	4
MED12L	83	21	65
GPR171	13	3	10
P2RY14	8	6	2
GPR87	4	4	0
P2RY13	48	8	41
P2RY12	9	5	7
IGSF10	31	17	14
AADAC	9	3	6
SUCNR1	38	4	34
MBNL1	3146	55	3104
LOC122153813	7	18	2
LOC104356596	13	3	10
LOC116964419	7	0	7
LOC122152421	932	7	925
LOC122154039	48	6	42
LOC116963391	35	1	34
LOC122154049	232	22	210
ARHGEF26	45	7	38
DHX36	2220	54	2166
GPR149	17	8	9
MME	29	10	19
