N_unmapped	2484213	2484213	2484213
N_multimapping	1785327	1785327	1785327
N_noFeature	19736828	40035945	20336086
N_ambiguous	579827	5898	349995
ALDH18A1	1800	18	1782
TCTN3	122	3	119
CFAP46	8	0	8
LOC104361281	2	0	2
NKX6-2	1	1	0
INPP5A	101	3	98
PWWP2B	740	23	717
LRRC27	13	0	13
LOC116961417	10	1	9
STK32C	3	0	3
DPYSL4	0	0	0
JAKMIP3	16	2	14
BNIP3	720	18	702
PPP2R2D	982	17	965
TCERG1L	17	0	17
GLRX3	7865	194	7671
CUNH10orf143	912	34	878
EBF3	2	2	0
MGMT	52	0	52
LOC122153463	0	0	0
MKI67	565	7	558
PTPRE	76	0	76
CLRN3	0	0	0
FOXI2	0	0	0
NPS	0	0	0
DOCK1	280	0	280
INSYN2A	1	1	0
CUNH10orf90	0	0	0
ADAM12	3	3	0
DHX32	183	199	2
LOC104365324	3710	75	3678
UROS	3939	78	3888
EDRF1	2079	178	1903
TEX36	3	0	3
CTBP2	41	21	20
ZRANB1	14626	228	14398
ABRAXAS2	2430	21	2409
EEF1AKMT2	492	9	483
FAM53B	7	9	16
LOC104367620	219	16	221
NKX1-2	0	0	0
OAT	1520	17	1503
CHST15	5	0	5
LOC116960647	0	0	0
CPXM2	0	0	0
GPR26	0	0	0
BUB3	916	26	890
HMX2	0	0	0
HMX3	0	0	0
ACADSB	80	0	80
IKZF5	748	30	718
PSTK	162	21	141
LOC104363301	8	8	0
CUNH10orf88	7	0	7
DMBT1	0	0	0
CUZD1	0	0	0
HTRA1	0	0	0
PLEKHA1	806	17	789
PLAUR	0	0	0
TACC2	1	0	1
NSMCE4A	506	29	477
ATE1	2166	21	2145
FGFR2	2	0	2
LOC116960652	2	2	0
LOC116960653	2	0	2
LOC116960651	1	0	1
WDR11	1742	32	1710
PLPP4	0	0	0
LOC122153442	1	1	0
LOC104360272	2222	306	2197
LOC104360064	2170	40	2411
INPP5F	135	95	40
LOC116960642	5	2	3
BAG3	2	0	2
LOC122153456	0	0	0
TIAL1	3163	28	3135
RGS10	352	5	347
LOC116960640	7	2	5
GRK5	236	6	350
PRDX3	2473	161	2432
SFXN4	531	37	499
DENND10	2500	20	2485
EIF3A	1981	29	1952
LOC116960683	22	0	22
NANOS1	0	0	0
CACUL1	3298	83	3215
PRLHR	0	0	0
FAM204A	6775	69	6706
RAB11FIP2	117	1	116
EMX2	0	0	0
LOC116960650	266	29	237
PDZD8	1509	25	1487
SLC18A2	236	61	178
KCNK18	0	0	0
VAX1	0	0	0
SHTN1	3	0	3
ENO4	0	0	0
HSPA12A	0	0	0
LOC104366932	0	0	0
LOC104366933	0	0	0
LOC104366935	0	0	0
CCDC172	0	0	0
GFRA1	1	0	1
ATRNL1	4	0	4
TRUB1	155	2	153
FHIP2A	3759	61	4032
ABLIM1	106	304	136
AFAP1L2	22	22	0
VWA2	2	2	0
TDRD1	37	0	37
CCDC186	10624	188	10436
ADRB1	328	8	320
NHLRC2	732	8	724
DCLRE1A	86	1	85
PLEKHS1	41	0	41
CASP7	1356	17	1339
LOC104357889	11	1	10
HABP2	2	2	0
TCF7L2	49	10	39
VTI1A	2296	84	2213
ZDHHC6	2789	74	2716
ACSL5	333	162	171
TECTB	11	11	0
GPAM	36	0	36
LOC116960635	0	0	0
LOC116960663	0	0	0
ADRA2A	0	0	0
SHOC2	853	13	840
