N_unmapped	3041820	3041820	3041820
N_multimapping	1930094	1930094	1930094
N_noFeature	16943202	44175112	17930509
N_ambiguous	858339	10114	552350
ALDH18A1	1222	29	1193
TCTN3	399	10	389
CFAP46	14	0	14
LOC104361281	0	0	0
NKX6-2	3	2	1
INPP5A	372	5	367
PWWP2B	1920	66	1854
LRRC27	35	0	35
LOC116961417	74	0	74
STK32C	25	0	25
DPYSL4	0	0	0
JAKMIP3	44	6	38
BNIP3	1863	48	1815
PPP2R2D	2602	81	2521
TCERG1L	5	0	5
GLRX3	5467	144	5323
CUNH10orf143	1665	52	1613
EBF3	1	0	1
MGMT	84	4	80
LOC122153463	0	0	0
MKI67	219	3	216
PTPRE	196	3	193
CLRN3	0	0	0
FOXI2	0	0	0
NPS	3	0	3
DOCK1	449	9	440
INSYN2A	22	21	1
CUNH10orf90	0	0	0
ADAM12	6	6	0
DHX32	302	354	3
LOC104365324	2571	75	2609
UROS	3276	156	3178
EDRF1	3603	322	3281
TEX36	3	0	3
CTBP2	99	49	50
ZRANB1	26267	511	25756
ABRAXAS2	3264	42	3222
EEF1AKMT2	1047	16	1031
FAM53B	69	9	123
LOC104367620	446	63	446
NKX1-2	0	0	0
OAT	3644	46	3598
CHST15	14	0	14
LOC116960647	0	0	0
CPXM2	1	0	1
GPR26	0	0	0
BUB3	1693	77	1616
HMX2	0	0	0
HMX3	0	0	0
ACADSB	324	5	322
IKZF5	1835	188	1651
PSTK	444	50	395
LOC104363301	27	26	1
CUNH10orf88	46	1	45
DMBT1	0	0	0
CUZD1	0	0	0
HTRA1	37	1	36
PLEKHA1	1570	34	1536
PLAUR	0	0	0
TACC2	2	0	2
NSMCE4A	1165	29	1136
ATE1	2659	32	2627
FGFR2	0	0	0
LOC116960652	0	0	0
LOC116960653	1	1	0
LOC116960651	2	0	2
WDR11	2971	44	2927
PLPP4	0	0	0
LOC122153442	0	0	0
LOC104360272	4492	406	4437
LOC104360064	3192	83	3460
INPP5F	214	115	99
LOC116960642	6	0	6
BAG3	15	3	12
LOC122153456	22	13	9
TIAL1	5758	99	5659
RGS10	383	7	376
LOC116960640	10	2	8
GRK5	276	15	359
PRDX3	3554	170	3482
SFXN4	530	76	460
DENND10	2067	28	2045
EIF3A	3980	96	3884
LOC116960683	18	0	18
NANOS1	2	1	2
CACUL1	6423	167	6257
PRLHR	0	0	0
FAM204A	2815	47	2768
RAB11FIP2	579	8	571
EMX2	0	0	0
LOC116960650	433	52	389
PDZD8	3629	91	3560
SLC18A2	670	98	586
KCNK18	0	0	0
VAX1	0	0	0
SHTN1	5	0	5
ENO4	0	0	0
HSPA12A	2	0	2
LOC104366932	0	0	0
LOC104366933	0	0	0
LOC104366935	0	0	0
CCDC172	0	0	0
GFRA1	8	0	8
ATRNL1	90	0	90
TRUB1	368	2	366
FHIP2A	5542	114	5959
ABLIM1	186	475	242
AFAP1L2	19	17	2
VWA2	0	0	0
TDRD1	22	2	20
CCDC186	11045	274	10771
ADRB1	1637	48	1589
NHLRC2	1320	20	1300
DCLRE1A	191	4	187
PLEKHS1	96	3	93
CASP7	1901	57	1844
LOC104357889	4	0	4
HABP2	0	0	0
TCF7L2	114	12	102
VTI1A	2211	76	2136
ZDHHC6	3316	88	3231
ACSL5	470	238	234
TECTB	13	13	0
GPAM	56	1	55
LOC116960635	1	0	1
LOC116960663	0	0	0
ADRA2A	1	0	1
SHOC2	1830	17	1813
BBIP1	2582	119	2463
PDCD4	3935	985	2950
RBM20	14	0	14
SMC3	2452	37	2415
DUSP5	78	0	78
SMNDC1	7498	8228	3341
MXI1	20996	721	24346
ADD3	2765	40	2725
XPNPEP1	880	17	863
LOC116960682	86	0	86
SORCS1	1	0	1
LOC116960639	0	0	0
SORCS3	3	0	3
LOC122153351	0	0	0
CFAP58	1	0	1
LOC104356752	504	17	487
GSTO1	1493	47	1446
CFAP43	165	222	17
SFR1	194	6	262
COL17A1	21	13	8
SLK	3115	130	2989
STN1	931	10	925
SH3PXD2A	18	4	14
NEURL1	69	1	68
CALHM3	0	0	0
CALHM1	2	2	0
CALHM2	63	30	33
PDCD11	1499	35	1464
ATP5MK	1544	20	1524
